ABORT_TXN_WW,CEID,AUTO_ABORT
201901,ANTde,27
201901,ANTrv,7
201901,AVDcu,1
201901,AVDdi,7
201901,AVXdb,47
201901,BCLcu,19
201901,BCLnc,49
201901,BECcu,9
201901,BETcu,3
201901,BETnc,5
201901,BNDcv,3
201901,BPDdm,15
201901,BPDdx,9
201901,BPKdu,14
201901,BPQdx,7
201901,CARch,8
201901,CARco,8
201901,CARcu,6
201901,CATcs,3
201901,CATcv,1
201901,CATws,1
201901,CBFaa,5
201901,CDKcu,10
201901,CDKli,20
201901,CDMcn,1
201901,CDOck,18
201901,CDOco,12
201901,CDOcu,18
201901,CDOnc,21
201901,CDTco,7
201901,CDTlb,3
201901,CDTlo,5
201901,CDTnc,26
201901,CDTsc,5
201901,CDTsp,31
201901,CFScf,3
201901,CFScw,1
201901,CSBca,43
201901,CSBcd,49
201901,CSBcp,23
201901,CTIcu,5
201901,CTIcw,41
201901,CVDcc,35
201901,CVDco,28
201901,CVDcs,15
201901,CVDgc,7
201901,CVDnl,15
201901,CVDnn,12
201901,CVDph,10
201901,CVDxi,51
201901,DEAnc,7
201901,DEAnf,2
201901,DEAnr,2
201901,DEAns,60
201901,DFWci,64
201901,DFWni,73
201901,DMTcu,72
201901,DMTnc,3
201901,DORcu,53
201901,DORdm,177
201901,DRTcb,5
201901,DRTcu,14
201901,DRTnb,11
201901,DRTnc,22
201901,DVDco,9
201901,DVDcr,16
201901,DVDnl,8
201901,DVDnn,2
201901,DVDxi,3
201901,DWXaa,1
201901,EDTde,1
201901,EDTdt,2
201901,EDTns,2
201901,EPNcr,40
201901,EPNct,141
201901,EPNhx,40
201901,EPNti,13
201901,ESTwa,13
201901,ESTwc,27
201901,EVAbe,1
201901,FDAca,28
201901,FDAda,19
201901,FDBcu,1
201901,FDBdm,1
201901,FDBdt,10
201901,FDBdx,5
201901,FDHdm,21
201901,FDKcu,11
201901,FLOnc,1
201901,FLOng,25
201901,FLOnu,10
201901,FOXcu,121
201901,FOXdi,58
201901,GNTbb,3
201901,GSTbs,10
201901,GSTwa,38
201901,GTAbe,11
201901,GTAcm,3
201901,GTAcv,22
201901,GTOcb,15
201901,GTOcl,1
201901,GTOcu,18
201901,GTOtl,4
201901,GTOtm,4
201901,GTOtr,3
201901,GTOvg,4
201901,GTOvn,2
201901,GTOvs,2
201901,GTOvt,7
201901,GTRcm,3
201901,GTThm,1
201901,GTTts,4
201901,GTTvg,1
201901,GTTvj,1
201901,GTTvm,5
201901,GTTvs,7
201901,GTXde,36
201901,HDRdi,9
201901,HFRds,1
201901,HINcl,4
201901,HINcu,10
201901,HINde,26
201901,HINdl,24
201901,HMEcb,1
201901,HMEcm,8
201901,HMEct,87
201901,HMEcu,4
201901,HMEcx,12
201901,HRBcu,1
201901,HTAdi,12
201901,HTPsa,30
201901,HWPst,2
201901,ICEfn,18
201901,ICEmt,15
201901,ICEne,8
201901,ICEpy,25
201901,JGRwe,5
201901,JGRwx,20
201901,KCDnc,5
201901,KSTwa,1
201901,LATne,30
201901,LKLcu,22
201901,LSAcp,78
201901,LSAcs,115
201901,LSAcu,83
201901,LSAin,35
201901,LSAnc,46
201901,LSAnp,77
201901,LSAws,10
201901,LSBcp,55
201901,LSBnp,224
201901,MBDcv,8
201901,MIKab,17
201901,MIKcb,1
201901,MIRlb,3
201901,MTKcu,26
201901,NCDnc,10
201901,NDEcv,6
201901,NMTnc,321
201901,NSTcp,3
201901,NSTpn,9
201901,NSTwa,35
201901,NSTwn,25
201901,NSTwp,26
201901,ODEcv,5
201901,OMAcu,4
201901,OMAsc,4
201901,OMBcs,22
201901,OMBct,3
201901,OMBcu,16
201901,OMBli,35
201901,OMBns,21
201901,OMDli,14
201901,OMDns,16
201901,OMEcs,21
201901,OMEcu,1
201901,OMEli,4
201901,OMEns,3
201901,OMGnt,8
201901,OMGnw,5
201901,ONTxx,61
201901,ORLct,6
201901,ORLdt,53
201901,ORLdx,9
201901,OVZcu,6
201901,OVZdm,1
201901,OXScb,11
201901,OXSch,36
201901,OXScl,33
201901,OXScn,5
201901,OXScv,4
201901,OXTcr,17
201901,OXTon,23
201901,OXTrk,2
201901,PALcu,17
201901,PALnc,6
201901,PATbe,12
201901,PATne,3
201901,PATrt,8
201901,PATxt,2
201901,PCDcp,42
201901,PHXen,1
201901,PIAim,20
201901,PLBab,3
201901,PLBcv,16
201901,PLBhv,28
201901,PLBng,4
201901,PLByz,3
201901,PLEcg,19
201901,PLEng,24
201901,PLHcn,23
201901,PLIec,28
201901,PLIgl,28
201901,PLIhm,15
201901,PLIht,1
201901,PLImd,10
201901,PLIop,45
201901,PLIpg,22
201901,PLIps,15
201901,PLIsw,10
201901,PLItl,3
201901,PLIvg,2
201901,PLIyz,5
201901,PLMbd,8
201901,PLMbm,4
201901,PLMce,15
201901,PLMct,1
201901,PLMcv,11
201901,PLMcz,33
201901,PLMgl,5
201901,PLMhp,1
201901,PLMmd,4
201901,PLMmh,1
201901,PLMnv,6
201901,PLMnx,27
201901,PLMny,28
201901,PLMps,10
201901,PLMtl,8
201901,PLMwd,4
201901,PMMba,11
201901,PMMca,8
201901,PMMha,1
201901,PMMsa,12
201901,PRTcb,29
201901,PRTcu,29
201901,PRTnb,8
201901,PRTnc,41
201901,PRTnd,12
201901,QEKdm,1
201901,QNTcu,7
201901,QSAdt,5
201901,QSBdt,1
201901,RCLcr,5
201901,RCLcu,5
201901,RCLde,76
201901,RCLrg,4
201901,REKmk,12
201901,REXbe,2
201901,REXbl,3
201901,REXcd,20
201901,REXcl,52
201901,REXcu,54
201901,REXde,60
201901,REXdl,25
201901,REXml,1
201901,REXtl,5
201901,REXxl,28
201901,REXxx,50
201901,RIAli,4
201901,RIObg,5
201901,RIOcx,6
201901,RIOht,5
201901,RIOnc,17
201901,RIOnt,55
201901,RIOtn,2
201901,RMTaa,20
201901,ROXoo,21
201901,RVIox,2
201901,RVIst,10
201901,RVNsp,7
201901,SARli,18
201901,SASli,273
201901,SATaa,2
201901,SATdi,5
201901,SATnn,16
201901,SATpp,7
201901,SATtt,45
201901,SAUli,32
201901,SAXcu,7
201901,SAXli,16
201901,SAYli,37
201901,SBHcu,5
201901,SCCli,25
201901,SCDli,1
201901,SEAcv,4
