WW,AREA,PMOverdue,WaivePM,% PM Waive
1,Analytical,48,17,35.42%
1,Diffusion,158,97,61.39%
1,Etch,617,101,16.37%
1,FBE,163,4,2.45%
1,FabSupportGroup,14,4,29%
1,Implant,7,6,85.71%
1,Lithography,598,384,64.21%
1,Metrology,141,92,65.25%
1,Planar,298,75,25.17%
1,TSV,4,2,50.00%
1,ThinFilms,437,138,31.58%
1,WetEtch,124,79,63.71%
2,Analytical,25,8,32.00%
2,Diffusion,253,152,60.08%
2,Etch,634,92,14.51%
2,FBE,164,6,3.66%
2,FabSupportGroup,16,8,50.00%
2,Implant,10,7,70.00%
2,Lithography,618,428,69.26%
2,Metrology,115,78,67.83%
2,Planar,277,72,25.99%
2,TSV,4,1,25%
2,ThinFilms,505,178,35.25%
2,WetEtch,131,84,64.12%
3,Analytical,20,6,30.00%
3,Diffusion,269,166,61.71%
3,Etch,512,87,16.99%
3,FBE,190,7,3.68%
3,FabSupportGroup,25,6,24%
3,Implant,13,10,77%
3,Lithography,597,391,65.49%
3,Metrology,120,81,67.50%
3,Planar,265,53,20.00%
3,TSV,2,1,50%
3,ThinFilms,426,154,36.15%
3,WetEtch,181,105,58.01%
4,Analytical,22,11,50.00%
4,Diffusion,232,144,62.07%
4,Etch,549,73,13.30%
4,FBE,186,7,3.76%
4,FabSupportGroup,13,4,30.77%
4,Implant,16,10,63%
4,Lithography,638,473,74.14%
4,Metrology,132,84,63.64%
4,Planar,297,68,22.90%
4,TSV,1,1,100.00%
4,ThinFilms,433,174,40%
4,WetEtch,214,128,59.81%
5,Analytical,65,29,44.62%
5,Diffusion,212,117,55.19%
5,Etch,564,76,13.48%
5,FBE,162,5,3.09%
5,FabSupportGroup,13,3,23.08%
5,Implant,3,3,100%
5,Lithography,629,438,69.63%
5,Metrology,121,88,72.73%
5,Planar,349,89,25.50%
5,TSV,3,0,0%
5,ThinFilms,445,148,33.26%
5,WetEtch,183,101,55.19%
6,Analytical,76,34,44.74%
6,Diffusion,161,98,60.87%
6,Etch,644,65,10.09%
6,FBE,189,10,5.29%
6,FabSupportGroup,16,3,18.75%
6,Implant,6,4,66.67%
6,Lithography,724,514,70.99%
6,Metrology,72,44,61.11%
6,Planar,283,72,25.44%
6,TSV,4,1,25%
6,ThinFilms,496,171,34.48%
6,WetEtch,216,115,53.24%
7,Analytical,35,12,34.29%
7,Diffusion,183,112,61.20%
7,Etch,732,89,12.16%
7,FBE,196,2,1.02%
7,FabSupportGroup,18,6,33.33%
7,Implant,12,9,75%
7,Lithography,679,506,74.52%
